movieId,title,genres,overview
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"Заключенный в своем уединенном замке в Трансильвании, окруженный компанией летучих мышей, граф Дракула чувствует необходимость покинуть родные места, в которых свежая кровь становится слишком редким праздником.Для любителей интриг нельзя придумать лучших`охотничьих угодий`, чем викторианская Англия, населенная страстными женщинами, ценящими любовь и только и жаждущими, чтобы их соблазнили."
13,Balto (1995),Adventure|Animation|Children,"Наполовину лайка, наполовину волк, Балто и сам не знает кто он такой на самом деле. Всеми гонимый бродяга в ледяной пустыни Аляски. Только его друзья русский полярный гусь Борис, медвежата Мак и Лак и красавица-лайка Дженна уверены, что хотя он и не такой как все, но в его груди бьется благородное сердце.Однажды случается несчастье. Эпидемия дифтерии охватила детей небольшого поселка, а свирепая вьюга сделала непроходимыми все дороги. Лишь собачья упряжка может преодолеть шестьсот миль через ослепляющий арктический шторм и привезти спасительное лекарство.Но собаки сбились с дороги где-то на замерзших просторах. Теперь только Балто может найти упряжку и спасти детей, а заодно стать героем и настоящей легендой!"
14,Nixon (1995),Drama,"История Ричарда Никсона, бывшего президента Соединенных Штатов, президентский срок которого закончился с позором. Он стал единственным американским президентом, который сложил свои полномочия, чтобы избежать импичмента."
15,Cutthroat Island (1995),Action|Adventure|Romance,"1668 год, Ямайка. Отважная дочь пирата Морган Эдамс (Джина Дэвис) получила в наследство от отца, погибшего от рук собственного брата, треть карты Острова Головорезов с обозначением места, где спрятаны несметные сокровища. Чтобы добраться до них, Морган набирает команду из товарищей отца. На аукционе рабов в Порт-Ройале на Ямайке она покупает очаровательного и чертовски обаятельного проходимца Уильяма Шоу (Мэттью Модин), у которого оказывается вторая часть карты. А третья, последняя часть карты, находится у злого и коварного дяди Морган, — пирата по прозвищу «Дог» (Фрэнк Ланджелла)."
16,Casino (1995),Crime|Drama,"Никто не может сравниться с Сэмом Ротстином. Никто не умеет зарабатывать деньги, как он. Никто не умеет работать так самоотверженно и аккуратно, как трудяга Сэм. За свои неоспоримые достоинства Ротстин получил кличку Ас. И именно поэтому боссы мафии решили поручить Асу заправлять огромным шикарным казино в Лас-Вегасе. А чтобы Сэму никто не мешал работать, мафиози отправили вслед за Асом друга детства Ротстина - Никки Санторо, отпетого бандита и безжалостного головореза."
17,Sense and Sensibility (1995),Drama|Romance,"История жизни и любви двух сестер - чувственной Элинор и страстной Марианны, чье счастье и будущее омрачено смертью отца и потерей огромного состояния семьи."
18,Four Rooms (1995),Comedy,"Озорная комедия состоит из четырех новелл (каждый из режиссеров сделал по одной), связанных одним героем — коридорным Тедом, вышедшим на работу накануне Нового года. Он попадает на шабаш ведьм, чуть не погибает от руки ревнивого мужа, еле уносит ноги от шаловливых детишек гангстера, принимает участие в странном пари эксцентричных господ. Но, несмотря на все сомнительные приключения, коридорный сохраняет невозмутимость в любых, самых невероятных ситуациях."
19,Ace Ventura: When Nature Calls (1995),Comedy,"Уронив енота в пропасть и успокоив сердце в высокогорном буддийском монастыре, Эйс Вентура приступает к новому заданию. Его приглашают найти пропавшую священную летучую мышь (единственное животное, которого боится главный герой) африканского племени в Нибии. Если мышь не найти, племя уверено, что их всех постигнет ужасная смерть. Эйс приезжает в Нибию и начинает расследование."
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"Два сводных брата, белый и чернокожий, с детства мечтавшие лишь об одном - стать богатыми, задумывают дерзкое ограбление. Цель налетчиков - инкассаторский поезд метро, каждую ночь перевозящий миллионы по тоннелям нью-йоркской подземки. Главным организатором является белый брат - он проиграл деньги гангстерам, и ему срочно нужна немалая сумма, чтобы вернуть долг, а черный брат соглашается ему помочь. Только два обстоятельства останавливают братьев: оба служат в полиции, а поезд находится под личной охраной их босса. Но соблазн слишком велик, да и вредному боссу, накануне уволившему их со службы, насолить очень уж хочется. И в новогоднюю ночь пара новоявленных грабителей решает осуществить то, о чем они грезили всю жизнь - угнать поезд и стать миллионерами..."
21,Get Shorty (1995),Comedy|Crime|Thriller,"Гангстер и рэкетир Чили Палмер, попав в Голливуд, где ему предстояло выбить деньги из продюсера, задолжавшему мафии, принимает решение снять фильм, используя для сюжета свой личный богатый опыт и глубокое знание кино, которое он обожает.Причем списывается сценарий буквально с жизни, так как мафиозные разборки, держащие зрителя в лихорадочном напряжении, продолжаются все экранное время. Гангстеры из Майями, из Колумбии и Лос-Анджелеса расстаются с жизнью в этой картине роковых ошибок куда прозаичней, чем в кино, но сколько комичных ситуаций в этой прозе — прекрасный сценарий Скотта Фрэнка по роману Элмора Леонарда."
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"9 из 10 серийных убийц - это белые американцы в возрасте от 20 до 35 лет. В штате Флорида было потрачено 8 миллионов долларов, чтобы казнить серийного убийцу Теда Банди. Не лучше ли было предоставить его в распоряжение ученых, чтобы избежать появления новых «тедов банди» в будущем?» - задает с кафедры вопрос слушателям ученая-криминалист, эксперт с двадцатилетним стажем, доктор Хелен Хадсон. Ответ она получает через несколько минут в туалете, где, повесив ее саму за шею так, чтобы мыски ног едва касались унитаза, маньяк на ее глазах убивает ее охранника. В результате перенесенного шока она 13 месяцев пребывает в состоянии панического страха, не выходя из квартиры, пока к ней не обращаются за помощью полицейские-напарники, красавец Рубен и симпатичная умница с колючим язычком М. Джей (так, инициалами ее называют коллеги)."
23,Assassins (1995),Action|Crime|Thriller,"Роберт Рэт (Сильвестр Сталлоне), считающийся лучшим наёмным убийцей в мире, подустал от насилия и решает уйти на покой, дав зарок, что соглашается на последнее задание постоянного нанимателя, не раскрывающего себя. Вот только «контракт» перехватывает амбициозный и импульсивный Мигель Бэйн (Антонио Бандерас) — новичок, мечтающий занять вожделённое первое место. Ситуация резко осложняется, и Рэту приходится, объединив усилия с «мишенью», привлекательной женщиной-хакером, назвавшей себя Электрой (Джулианна Мур), принять вызов Бэйна."
24,Powder (1995),Drama|Sci-Fi,"«Пудра» – это прозвище Джереми-альбиноса. Сверстники пугаются его необычной внешности, мертвенно-бледной кожи, испепеляющего взгляда, проникающего в самое сердце собеседника. Но вскоре они понимают, что Пудра обладает сверхъестественными способностями, и за белым холодом его лица бушует пламя невероятной энергии. Так кто же он – ошибка природы или её венец, новая ступень человеческой эволюции? Есть тайны, перед которыми наука бессильна..."
25,Leaving Las Vegas (1995),Drama|Romance,"Бен Сандерсон когда-то был сценаристом, а теперь он — алкоголик, жизнь которого стремительно катится под откос. Потеряв семью и работу, он отправляется в Лас-Вегас с единственной целью — напиться до смерти. Там он встречает проститутку Серу, с которой у него завязываются отношения — возможно, последние в его жизни."
26,Othello (1995),Drama,"Любовь, секс и ревность. Когда яд и подозрения смешиваются и загораются, это может привести лишь к трагедии. В новом варианте с Лоуренсом Фишберном и Кеннетом Браной классическая пьеса Уильяма Шекспира остается такой же шокирующей, как когда была написана."
27,Now and Then (1995),Children|Drama,"Спустя десять-пятнадцать лет в своем родном провинциальном городке встречаются четыре подружки, когда-то давшие клятву собраться, если кому-то из них понадобится помощь. Они вспоминают свое детство со всеми его радостями, тревогами, ожиданием взрослой жизни и становлением личностей."
28,Persuasion (1995),Drama|Romance,"Англия. 1814 год. Восемь лет назад высокомерные родственники заставили юную Энн Эллиот отвергнуть руку и сердце человека, которого она любила — молодого морского офицера без денег и положения в обществе.  И вот теперь, когда после долгих скитаний по морями завершения войны с Наполеоном у капитана Фредерика Уэнтворта появились и деньги, и большие связи, судьба вновь свела их вместе. Но за это время семья Эллиотов обеднела, а Фредерик стал завидной и выгодной партией. Смогут ли Энн и Фредерик, несмотря на общественные предрассудки и условности этикета, разобраться в своих чувствах и убедить друг друга, что их любовь еще жива?"
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"Недалеко от гавани пропитанного сыростью и окутанного туманом мрачного Города потерянных детей, в замке на берегу моря живет страшный ученый по имени Кранк, преждевременно постаревший из-за полной неспособности спать. По приказу Кранка его подручные-циклопы похищают детей и затаскивают в мрачную лабораторию, где злодей-ученый превращает их сны в свои собственные. Но из-за того, что дети ужасно его боятся, он видит только их кошмары. В поисках пропавшего младшего брата в Город приходит цирковой силач Уан. Ему помогает храбрая девятилетняя девочка Миетт и ее бригада маленьких бойцов сопротивления."
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,"Деревенский мальчик поступает в услужение к капризной любовнице могущественного главаря одной из шанхайских триад. История ребенка в безжалостном мире, история о пробуждении души и ее гибели. Гангстерская история. Человеческая драма."
31,Dangerous Minds (1995),Drama,"Покинув элитные части морской пехоты, Лу — Энн Джонсон выбирает для себя странную профессию: железная леди становится учительницей английского языка в колледже. Но навыки армейской службы сразу же пригодились ей на новом поприще.  Ведь класс, в который попала Лу — Энн, мало чем отличался от поля боя, а ученики оказались очень уж похожи на головорезов. Учительнице специального назначения не оставалось ничего другого, как перейти в решительное наступление…"
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"2035 год... Чудовищный, неизлечимый вирус уничтожил пять миллиардов человек, то есть 99% населения Земли. Оставшиеся в живых люди вынуждены обитать под землей. Уголовник Джеймс Коул добровольно отправляется в опасное путешествие на машине времени. Он должен попасть в прошлое, чтобы помочь ученым найти источник возникновения этого ужасного вируса и раскрыть загадку таинственных «Двенадцати обезьян»..."
34,Babe (1995),Children|Drama,"История о приключениях маленького необыкновенно умного поросенка йоркширской породы. Все животные на ферме Хоггетов имеют ярко выраженную индивидуальность и общаются между собой на человеческом языке. Люди при этом, разумеется, совершенно не в курсе дела. Когда же хозяин начинает что-то подозревать, он сам включается в эту игру, надеясь использовать в хозяйстве вдруг проявившийся интеллект животных. Четвероногий малыш, тот самый поросёнок, воспитанный овчаркой Флай, пытается доказать, что свинья годится не только для украшения рождественского стола (к чему дело как раз и шло), но способна выполнять работу, требующую ума и сообразительности — пасти овец. Можете себе представить, как к этой идее относятся сами овцы! Не говоря об овчарках — какая профессиональная гордость такое выдержит?"
36,Dead Man Walking (1995),Crime|Drama,"Заключенный, приговоренный к смерти за жестокое убийство, избирает своей духовной наставницей монахиню. Сначала она пытается помочь ему избежать высшей меры наказания, но, не добившись этого, старается облегчить последние часы его жизни, пробудить в нем человечность и убедить покаяться."
38,It Takes Two (1995),Children|Comedy,"Живут на свете две удивительно похожие друг на друга девочки: болтушка и непоседа Аманда и тихая, спокойная Элисса. Они не сестрички. Их похожесть — ирония судьбы. Одна растет в сиротском приюте под опекой доброй воспитательницы Дианы, а другая — с очень богатым отцом-одиночкой. Папу хочет женить на себе противная и корыстолюбивая особа.  Но к счастью, две девочки встречаются в летнем лагере и принимают решение предотвратить намечающийся брак по расчету, а заодно и влюбить папу в хорошую воспитательницу Диану. Для осуществления своих планов девочки на время меняются местами…"
39,Clueless (1995),Comedy|Romance,"Шер — королева старших классов школы Беверли-Хиллз — устраивает личную жизнь и меняет образы других людей. Но в том, что касается ее собственных симпатий, она полный профан."
40,"Cry, the Beloved Country (1995)",Drama,"Судьба трагически пересекла жизненные пути двух почтенных мужчин. Один из них, сельский священник, отправившись в город на поиски сестры и сына, выясняет, что сестра стала проституткой, а сына обвиняют в убийстве. Тогда и происходит его знакомство с Джеймсом Джарвисом. И гнев сталкивается с гордостью, а исход непредсказуем."
41,Richard III (1995),Drama|War,"Киноверсия знаменитой шекспировской пьесы переносит нас из средневековья в не менее кровавые тридцатые годы нашего столетия. Гражданская война заканчивается убийством короля.  Кажется, что за судьбу трона можно не беспокоиться, так как есть прямой наследник — старший сын короля. Но у младшего брата — Ричарда на этот счет свое мнение. Ричард слишком амбициозен и его претензии на престол приносят большой вред как семье, так и стране в целом. Волей судьбы Ричард занимает трон…"
42,Dead Presidents (1995),Action|Crime|Drama,"«Мертвые президенты» – так на воровском жаргоне называют наличные доллары. О них мечтает ветеран войны во Вьетнаме и все глубже уходит в трясину криминального мира. Собрав друзей, ветеран замышляет дерзкое ограбление. Новоиспеченная банда собирается напасть на бронированный фургон набитый американскими банкнотами!"
43,Restoration (1995),Drama,"Английский королевский двор времен реставрации монархии, полный бурлящих страстей и интриг. Молодой студент-медик Роберт Меривел получает место ветеринара королевских собак. Пытаясь защитить свою фаворитку Леди Селию от гнева королевы, Карл Второй предлагает Роберту вступить с ней в фиктивный брак. В награду Роберт получает титулы и поместья, но блеск богатства меркнет рядом с внезапно вспыхнувшей страстью."
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"Несколько столетий назад маг из другого мира Шан Цзун захватил древний воинский турнир. Его цель - ввергнуть наш мир в хаос. Чтобы спасти человечество от гибели, троим воинам предстоит смертельная битва с силами мрака."
45,To Die For (1995),Comedy|Drama|Thriller,"Ослепительные внешние данные Сьюзан могли бы сделать ее супермоделью и принести ей титул «Мисс Америка». Но она одержима мечтой стать телезвездой и готова пойти на все, чтобы эту мечту осуществить. Выйдя замуж за Ларри, самого симпатичного парня в их провинциальном городке, она решает начать свою телекарьеру на местной кабельной станции в качестве ведущей прогноза погоды. Ларри, который хочет нормальной семейной жизни, становится для Сьюзен препятствием на пути к славе, и она, недолго думая, решает от него избавиться…"
46,How to Make an American Quilt (1995),Drama|Romance,"Финн – студентка из Беркли, проводит летние каникулы в доме своих бабушки и тети. Финн пишет свою дипломную работу и вместе с тем обдумывает предложение о замужестве."
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"Детектив Уильям Сомерсет — ветеран уголовного розыска, мечтающий уйти на пенсию и уехать подальше от города и его грешных обитателей. За семь дней до пенсии на Сомерсета сваливаются две неприятности: молодой напарник Миллс и особо изощренное убийство. Острый ум опытного следователя сразу определяет, что за этим преступлением, скорее всего, последуют другие."
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"Из Европы отправляется в Новый Свет корабль с нашим героем Джоном Смитом. Экипаж, как объясняет капитан, плывет навстречу приключениям, успеху, богатству. Но сам капитан намерен найти там нечто вполне определенное - золото. А живут в Америке индейцы, и рассказ пойдет о благородной принцессе Покахонтас - красивой дочери вождя индейцев. У нее есть друг - веселый и любопытный енот, который очень любит проказничать. Однажды, во время прогулки, Покахонтас замечает большой корабль с белокожими незнакомцами на борту. ""Эти Белые Люди принесут много бед нашему народу!"" - предсказывает вождь. Капитан корабля из-за жажды золота начинает войну против мирного индейского народа. Сможет ли Покахонтас предотвратить неизбежную войну и спасти свой народ?..."
49,When Night Is Falling (1995),Drama|Romance,"Преподаватель Протестантского Колледжа, Камилла помолвлена с Мартином, своим коллегой по колледжу — священником и доцентом. Жизнь полна неожиданностей. Резкий поворот судьбы толкает Камиллу в объятия блистательной Петры, артистки цирка. Страсть, фантазия, любовь. Камилла должна выбрать: уйти с женщиной, которую она желает, или остаться с мужчиной, которого она любит."
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"Если есть преступление, есть и мотив. Если проводится опознание, то по крайней мере есть один подозреваемый. Но это было необычное преступление. Пять преступников столкнулись в одном необычном месте и решили прокрутить одно дельце. Но некто более сильный и влиятельный, некто, чье имя пугает всех преступников мира, хочет, чтобы они поработали на него. Это не было обычным преступлением, и они — не просто подозрительные лица."
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"Спортивный журналист Ленни женат на владелице картинной галереи. Они хотят завести ребенка, но у чрезмерно деловитой героини «нет времени на беременность». и они усыновляют новорожденного мальчика. Уже в раннем возрасте мальчик проявляет удивительные способности, так что приемный папа даже отдает его в школу для вундеркиндов.  Решая узнать, в кого сынишка такой умный, Ленни отправляется на поиски его биологической матери…"
53,Lamerica (1994),Adventure|Drama,
54,"Big Green, The (1995)",Children|Comedy,"Футбол — поистине самая популярная игра в мире. Теперь об этом знают и американцы. Правда не все, а только жители маленького городка в Техасе, в который приехала работать учительница физкультуры из Англии.  Для того, чтобы привить своим ученикам любовь к этой знаменитой игре, Анна Монтгомери решает создать в школе футбольную команду. Однако она и не думала, что так трудно объяснить американцам, что европейский футбол ничего общего не имеет с американским.  И чтобы совсем не упасть духом, мисс Монтгомери заручается поддержкой местного шерифа, который берется воспитать из ее подопечных не просто команду, а супер-команду."
55,Georgia (1995),Drama,"Сади Флад - сестра знаменитой рок-звезды Джорджии. Она зарабатывает себе на жизнь случайными выступлениями на сцене, а по ночам спит со случайными мужчинами. Выпивка и наркотики становятся необходимостью, и Сади возвращается в дом Джорджии. Начинаются раздоры и примирения…"
57,Home for the Holidays (1995),Drama,"Не самая благополучная семья собирается вместе на День благодарения. Томми приводит домой друга, который очень понравился его сестре. Но сестра думает, что друг Томми — его новый любовник."
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"Марио Руопполо по профессии почтальон. Пабло Неруда, чилийский поэт, оказался на крошечном островке в Средиземном море. История дружбы двух мужчин, различных и кажущихся далёкими, наполнена симпатией и любовью к поэзии."
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"Малыш Омри в день своего девятилетия получил много прекрасных подарков, два из которых, на первый взгляд, не представляли особой ценности – маленький пластиковый индеец и старый шкафчик. Но именно эти неприметные «дары» сулят юному герою много неожиданностей и сюрпризов"
61,Eye for an Eye (1996),Drama|Thriller,"У Карен МакКанн случилась чудовищная трагедия: в дом МакКаннов ворвался подонок и убил её семнадцатилетнюю дочь Джули. Преступника удалось арестовать, но Карен ждал новый кошмар. Невыносимая боль от жуткого горя сменилась шоком и яростью. Несовершенная судебная машина допустила непоправимую ошибку: убийца девушки вышел на свободу. И что самое ужасное — у него не пропал вкус к чужой смерти. Но ведь кто-то должен заставить жестокого монстра заплатить по счетам, если правосудие бессильно?! Судьёй становится сама Карен, которая терпеливо и тщательно начинает разрабатывать план мести…"
62,Mr. Holland's Opus (1995),Drama,"Для гениального композитора, живущего музыкой самым страшным ударом оказывается рождение глухого сына, который никогда не сможет услышать музыку. И никто не в силах что — либо изменить. Только любовь к сыну и к музыке помогает мистеру Холланду создать свой опус, который могут «слышать» даже глухие."
